Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000101,6.5,percent,5.8,7.2,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000102,7.8,percent,7.2,8.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000203,3.2,percent,3.1,3.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000204,5.1,percent,4.8,5.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000205,5.1,percent,4.8,5.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000206,7.1,percent,6.5,7.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000302,4.5,percent,4.1,4.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000304,4.5,percent,4.3,4.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000305,4.2,percent,3.9,4.6,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults with Diabetes,This indicator shows the percentage of adults who have ever been diagnosed with diabetes.,Census Tract,48453000306,5.3,percent,4.9,5.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
