Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000101,35.8,percent,34.3,37.4,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000102,41.9,percent,40.4,43.4,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000203,22.6,percent,21.4,24.1,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000204,30.9,percent,30,32.1,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000205,29.4,percent,28.4,30.5,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000206,36.2,percent,35,37.7,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000302,28.2,percent,26.9,29.6,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000304,27.4,percent,26.4,28.4,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000305,26.8,percent,25.4,28.3,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000306,28.1,percent,27.1,29.2,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000307,33.9,percent,32.7,35.2,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000401,25.4,percent,24.3,26.8,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000402,31.6,percent,30.4,32.9,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000500,24.5,percent,23,26.4,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000601,13.1,percent,12,14.5,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000603,14.9,percent,13.4,16.6,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000604,15.2,percent,13.7,17,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000700,33.2,percent,31.7,34.6,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000801,41.5,percent,40.3,42.8,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Cholesterol Prevalence: Adults 18+,This indicator shows the percentage of adults ages 18 and older who have had their blood cholesterol checked within the past five years and have been told by a health care provider that it is high.,Census Tract,48453000802,36.1,percent,35,37.2,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
