Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000101,19.3,percent,18.1,20.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000102,19.8,percent,18.6,21.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000203,17.8,percent,16.8,18.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000204,20.9,percent,19.9,21.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000205,21.6,percent,20.6,22.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000206,21.6,percent,20.4,22.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000302,20,percent,18.8,21.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000304,21.3,percent,20.3,22.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000305,20.7,percent,19.4,22.2,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who are Obese,This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.,Census Tract,48453000306,22.6,percent,21.4,23.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
