Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000101,69.1,percent,68.2,70,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000102,73.4,percent,72.5,74.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000203,60.2,percent,58.8,61.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000204,63.4,percent,62.6,64.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000205,62.7,percent,61.8,63.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000206,68,percent,67.2,68.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000302,61.2,percent,60.1,62.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000304,59.8,percent,58.8,60.6,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000305,60.6,percent,59.4,61.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000306,62.6,percent,61.5,63.6,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000307,64.7,percent,63.6,65.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000401,60.4,percent,59.4,61.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000402,65.5,percent,64.5,66.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults who have had a Routine Checkup,This indicator shows the percentage of adults that report having visited a doctor for a routine checkup within the past year.,Census Tract,48453000500,58.6,percent,57.2,60,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
