Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000101,10.1,percent,8,12.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000102,6.8,percent,5.4,8.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000203,16.8,percent,13.8,21.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000204,13,percent,11.3,15.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000205,14.9,percent,12.7,17.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000206,11.3,percent,9.1,14.2,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000302,15.4,percent,12.8,18.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000304,18.1,percent,15.3,21.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000305,14.9,percent,12.1,18.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000306,17.1,percent,13.9,20.6,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000307,15.7,percent,12.8,19.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000401,15.6,percent,13.1,18.6,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000402,18,percent,14.5,22,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000500,18.8,percent,15.2,23.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000601,36.7,percent,33.4,41.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000603,35.6,percent,30.5,39.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000604,35.9,percent,30.7,41.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000700,13.8,percent,11.3,17.2,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000801,39.7,percent,33.9,44.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000802,35.7,percent,31.6,39.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000803,21.5,percent,17.7,25.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000804,31,percent,26.7,35.2,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000901,24.4,percent,20.2,28.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453000902,35.7,percent,30.8,40.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001000,30.5,percent,25.5,35.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001100,12.7,percent,10.3,16.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001200,9.3,percent,8.2,11,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001303,10,percent,8.1,12.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001304,11.7,percent,9.4,14.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001305,17.5,percent,14,21.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001307,20.7,percent,17.2,24.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001308,24.1,percent,20.7,27.8,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001401,11,percent,9,14.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001402,13.1,percent,11.1,15.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001403,22.4,percent,18.7,26.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001501,9.5,percent,7.9,11.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001503,20.2,percent,17.4,22.9,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001504,12,percent,9.9,14.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults without Health Insurance,This indicator shows the percentage of adults aged 18-64 that do not have any kind of health insurance coverage. ,Census Tract,48453001505,14.9,percent,12,18.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
