Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,5.1,percent,-0.3,10.5,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,8.8,percent,1.1,16.5,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,13.4,percent,3,23.8,No,2009-2013,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,14.5,percent,3,26,No,2008-2012,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,16.4,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000101,24.6,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,0,percent,-4.6,4.6,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,3.1,percent,-2.4,8.6,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,2.6,percent,-2.6,7.8,No,2009-2013,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,5,percent,-1.2,11.2,No,2008-2012,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,8.1,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000102,7.4,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,8.2,percent,-31,47.4,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,0,percent,-70.3,70.3,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,0,percent,-59.1,59.1,No,2009-2013,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,0,percent,-76.5,76.5,No,2008-2012,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,0,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000203,0,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,15.8,percent,-1.5,33.1,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,14.5,percent,-3.1,32.1,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,20,percent,2.1,37.9,No,2009-2013,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,30.5,percent,0.1,60.9,No,2008-2012,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,15.1,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000204,0,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,0,percent,-7.4,7.4,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,0,percent,-8,8,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,0,percent,-14.9,14.9,No,2009-2013,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,0,percent,-50,50,No,2008-2012,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,0,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000205,9.8,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000206,8,percent,-0.3,16.3,No,2011-2015,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000206,11.6,percent,0.6,22.6,No,2010-2014,American Community Survey,,,,,,,,,,
People 65+ Living Below Poverty Level,This indicator shows the percentage of people aged 65 years and over living below the federal poverty level.,Census Tract,48453000206,11.6,percent,0.8,22.4,No,2009-2013,American Community Survey,,,,,,,,,,
