Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000101,38.9,percent,32.2,44.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000102,39.8,percent,34.9,44.4,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000203,33.7,percent,29,37.7,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000204,35.2,percent,31.4,38.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000205,35.3,percent,30.9,39,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000206,36.8,percent,31.7,41.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000302,33.6,percent,27.6,39.1,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000304,33.6,percent,29.9,37,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000305,34.5,percent,30.1,38.5,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
Adults 65+ who Received Recommended Preventive Services: Males,"
This indicator shows the percentage of menÂ aged 65 and older who receivedÂ recommended clinical preventiveÂ services during the past year.Â 
ThisÂ includes: an influenza vaccination in the past year; a PPV ever; and either a fecal occult blood test (FOBT) within the past year, a sigmoidoscopy within the past 5 years and a FOBT within the past 3 years, or a colonoscopy within the past 10 years.


Data on all services in the core set are not available every year given the rotating core questions on BRFSS. The indicator should not be assumed to cover all recommended clinical preventives services for this age group.
",Census Tract,48453000306,32.2,percent,27.4,36.3,No,2014,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
