Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000101,26.9,percent,25.3,28.4,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000102,32,percent,30.2,33.8,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000203,14.3,percent,13.6,15,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000204,20.2,percent,19.4,21.1,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000205,19.3,percent,18.5,20.1,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000206,26.7,percent,25.4,28.1,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000302,18,percent,17.2,19,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000304,18.2,percent,17.5,18.8,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000305,17,percent,16,18,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
High Blood Pressure Prevalence,This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).,Census Tract,48453000306,18.7,percent,17.8,19.5,No,2013,CDC - 500 Cities Project,Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.,,,,,,,,,
