Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,8.8,percent,5.2,12.4,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,9.8,percent,5.6,14,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,11.6,percent,7.1,16.1,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,12.9,percent,8.8,17,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,9.3,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000101,9.1,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,1.6,percent,-0.2,3.4,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,1.7,percent,-0.2,3.6,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,2.2,percent,0,4.4,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,4.6,percent,1.6,7.6,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,3.2,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000102,2,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,2.4,percent,0.5,4.3,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,5.6,percent,1.3,9.9,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,5.8,percent,2,9.6,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,5.4,percent,1.5,9.3,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,4.4,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000203,5.1,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,8.3,percent,4.7,11.9,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,7.6,percent,4.3,10.9,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,5.8,percent,2.6,9,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,5.3,percent,2.2,8.4,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,5.1,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000204,4.9,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,9,percent,3.7,14.3,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,9.9,percent,3.9,15.9,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,9.5,percent,4.1,14.9,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,11.5,percent,6,17,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,15,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000205,17.2,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,12.4,percent,8.2,16.6,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,15.7,percent,11,20.4,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,17.4,percent,11.6,23.2,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,15.4,percent,9.9,20.9,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,13.1,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000206,11.3,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,12.1,percent,8.5,15.7,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,11.6,percent,8,15.2,No,2010-2014,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,10.6,percent,6.7,14.5,No,2009-2013,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,12.2,percent,8.4,16,No,2008-2012,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,8.4,percent,,,No,2007-2011,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000302,10.9,percent,,,No,2006-2010,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000304,9.7,percent,5.3,14.1,No,2011-2015,American Community Survey,,,,,,,,,,
Households without a Vehicle,This indicator shows the percentage of households that do not have a vehicle.,Census Tract,48453000304,9.9,percent,4.6,15.2,No,2010-2014,American Community Survey,,,,,,,,,,
