,Unnamed: 0,Location,Arthritis,Cancer_x,Diabetes_x,Cholesterol_x,Obese_x,HBP_x,Routine_x,NoInsurance_x,ElderlyPoverty_x,ElderlyAlone_x,FemaleServices_x,MaleServices_x,Cancer_y,Diabetes_y,Cholesterol_y,Obese_y,HBP_y,Routine_y,NoInsurance_y,ElderlyPoverty_y,ElderlyAlone_y,FemaleServices_y,MaleServices_y,NoVehicle,INTPTLAT10,INTPTLON10,GEOID10,Latitude,Longitude
0,0,48453000101,17.4,7.3,6.5,35.8,19.3,26.9,69.1,10.1,5.1,49.6,34.2,38.9,7.3,6.5,35.8,19.3,26.9,69.1,10.1,5.1,49.6,34.2,38.9,8.8,+30.3231632,-097.7532684,48453000101,+30.3231632,-097.7532684
1,1,48453000102,20.5,8.8,7.8,41.9,19.8,32.0,73.4,6.8,0.0,39.3,38.7,39.8,8.8,7.8,41.9,19.8,32.0,73.4,6.8,0.0,39.3,38.7,39.8,1.6,+30.3263034,-097.7667937,48453000102,+30.3263034,-097.7667937
2,2,48453000203,6.9,2.3,3.2,22.6,17.8,14.3,60.2,16.8,8.2,27.5,31.1,33.7,2.3,3.2,22.6,17.8,14.3,60.2,16.8,8.2,27.5,31.1,33.7,2.4,+30.3126273,-097.7366587,48453000203,+30.3126273,-097.7366587
3,3,48453000204,12.0,4.1,5.1,30.9,20.9,20.2,63.4,13.0,15.8,23.0,32.6,35.2,4.1,5.1,30.9,20.9,20.2,63.4,13.0,15.8,23.0,32.6,35.2,8.3,+30.3071666,-097.7444637,48453000204,+30.3071666,-097.7444637
4,4,48453000205,11.1,3.8,5.1,29.4,21.6,19.3,62.7,14.9,0.0,23.6,32.9,35.3,3.8,5.1,29.4,21.6,19.3,62.7,14.9,0.0,23.6,32.9,35.3,9.0,+30.3261616,-097.7343170,48453000205,+30.3261616,-097.7343170
5,5,48453000206,16.8,6.3,7.1,36.2,21.6,26.7,68.0,11.3,8.0,47.7,33.7,36.8,6.3,7.1,36.2,21.6,26.7,68.0,11.3,8.0,47.7,33.7,36.8,12.4,+30.3261533,-097.7435153,48453000206,+30.3261533,-097.7435153
6,6,48453000302,10.0,3.4,4.5,28.2,20.0,18.0,61.2,15.4,17.1,39.6,30.9,33.6,3.4,4.5,28.2,20.0,18.0,61.2,15.4,17.1,39.6,30.9,33.6,12.1,+30.3025596,-097.7265032,48453000302,+30.3025596,-097.7265032
7,7,48453000304,9.1,2.9,4.5,27.4,21.3,18.2,59.8,18.1,0.0,21.6,27.9,33.6,2.9,4.5,27.4,21.3,18.2,59.8,18.1,0.0,21.6,27.9,33.6,9.7,+30.3093759,-097.7169057,48453000304,+30.3093759,-097.7169057
8,8,48453000305,9.4,3.2,4.2,26.8,20.7,17.0,60.6,14.9,9.2,55.8,31.6,34.5,3.2,4.2,26.8,20.7,17.0,60.6,14.9,9.2,55.8,31.6,34.5,6.9,+30.3148722,-097.7263020,48453000305,+30.3148722,-097.7263020
9,9,48453000306,10.3,3.3,5.3,28.1,22.6,18.7,62.6,17.1,23.5,35.7,31.8,32.2,3.3,5.3,28.1,22.6,18.7,62.6,17.1,23.5,35.7,31.8,32.2,12.0,+30.2971559,-097.7002732,48453000306,+30.2971559,-097.7002732
10,10,48453000307,15.0,4.9,7.2,33.9,24.2,25.0,64.7,15.7,14.1,44.0,29.3,34.3,4.9,7.2,33.9,24.2,25.0,64.7,15.7,14.1,44.0,29.3,34.3,10.1,+30.2970324,-097.7125662,48453000307,+30.2970324,-097.7125662
11,11,48453000401,8.3,2.8,3.9,25.4,18.5,16.1,60.4,15.6,0.0,31.2,30.2,34.1,2.8,3.9,25.4,18.5,16.1,60.4,15.6,0.0,31.2,30.2,34.1,7.5,+30.2882482,-097.7250558,48453000401,+30.2882482,-097.7250558
12,12,48453000402,14.7,4.6,8.3,31.6,24.0,26.1,65.5,18.0,1.9,25.2,25.6,29.9,4.6,8.3,31.6,24.0,26.1,65.5,18.0,1.9,25.2,25.6,29.9,4.6,+30.2841415,-097.7155190,48453000402,+30.2841415,-097.7155190
13,13,48453000500,8.1,2.6,3.7,24.5,19.6,15.2,58.6,18.8,2.7,24.6,28.7,32.5,2.6,3.7,24.5,19.6,15.2,58.6,18.8,2.7,24.6,28.7,32.5,12.8,+30.2960631,-097.7341732,48453000500,+30.2960631,-097.7341732
14,14,48453000603,4.3,1.0,2.2,14.9,20.0,11.1,53.7,35.6,100.0,0.0,19.5,26.0,1.0,2.2,14.9,20.0,11.1,53.7,35.6,100.0,0.0,19.5,26.0,13.7,+30.2919924,-097.7462695,48453000603,+30.2919924,-097.7462695
15,15,48453000700,12.2,4.5,5.8,33.2,19.4,23.4,64.5,13.8,1.7,45.0,32.9,36.0,4.5,5.8,33.2,19.4,23.4,64.5,13.8,1.7,45.0,32.9,36.0,12.1,+30.2777000,-097.7411175,48453000700,+30.2777000,-097.7411175
